Designator,Mid X,Mid Y,Layer,Rotation
C1,24.5000,-84.0000,Bottom,90.0000
C2,31.5000,-80.5000,Bottom,0.0000
C3,4.5000,-80.0000,Bottom,90.0000
C5,34.0000,-77.0000,Bottom,0.0000
C6,30.0000,-71.5000,Bottom,0.0000
C7,52.5000,-77.5000,Bottom,0.0000
C8,56.0000,-77.0000,Bottom,0.0000
C9,37.0000,-88.4000,Bottom,0.0000
C10,36.5000,-87.5000,Bottom,90.0000
C11,56.5000,-87.5000,Bottom,90.0000
C12,53.0000,-88.4000,Bottom,0.0000
C13,52.5000,-80.8000,Bottom,0.0000
C14,34.0000,-84.0000,Bottom,90.0000
C15,60.5000,-80.8000,Bottom,0.0000
C16,8.0000,-81.8000,Bottom,90.0000
C17,19.5000,-82.5000,Bottom,90.0000
C19,42.3148,-23.0971,Bottom,90.0000
C20,61.6481,-23.0971,Bottom,90.0000
C21,22.9815,-40.7054,Bottom,90.0000
C22,42.3148,-40.7054,Bottom,90.0000
C23,61.6481,-40.7054,Bottom,90.0000
C24,80.9815,-40.7054,Bottom,90.0000
C25,14.9259,-5.4075,Bottom,90.0000
C26,22.9815,-58.3129,Bottom,90.0000
C27,42.3148,-58.3129,Bottom,90.0000
C28,61.6481,-58.3129,Bottom,90.0000
C29,80.9815,-58.3129,Bottom,90.0000
C30,33.0000,-74.5000,Bottom,90.0000
C31,79.9074,-75.9212,Bottom,90.0000
D1,35.3333,-11.2000,Bottom,0.0000
D2,54.6667,-11.2000,Bottom,0.0000
D3,16.0000,-29.8676,Bottom,0.0000
D4,35.3333,-29.8676,Bottom,0.0000
D5,54.6667,-29.8676,Bottom,0.0000
D6,74.0000,-29.8676,Bottom,0.0000
D10,16.0000,-48.5344,Bottom,0.0000
D11,35.3333,-48.5344,Bottom,0.0000
D12,54.6667,-48.5344,Bottom,0.0000
D13,74.0000,-48.5344,Bottom,0.0000
D14,45.0000,-67.2020,Bottom,0.0000
D15,74.0000,-67.2020,Bottom,0.0000
D16,16.0000,-67.2020,Bottom,0.0000
J1,45.0000,-5.3650,Bottom,0.0000
R1,32.0000,-5.0000,Bottom,90.0000
R2,29.0000,-5.0000,Bottom,90.0000
R3,63.0000,-5.0000,Bottom,90.0000
R4,66.0000,-5.0000,Bottom,90.0000
R5,28.0000,-80.5000,Bottom,0.0000
R6,70.0000,-88.5000,Bottom,0.0000
R7,74.5000,-88.5000,Bottom,0.0000
R8,33.0000,-88.4000,Bottom,0.0000
R9,25.5000,-8.0000,Bottom,0.0000
R10,5.5000,-62.0000,Bottom,90.0000
R11,5.5000,-66.5000,Bottom,90.0000
R12,5.5000,-71.0000,Bottom,90.0000
SW1,32.8333,-20.8000,Bottom,0.0000
SW2,52.1667,-20.8000,Bottom,0.0000
SW3,13.5000,-39.4676,Bottom,0.0000
SW4,32.8333,-39.4676,Bottom,0.0000
SW5,52.1667,-39.4676,Bottom,0.0000
SW6,71.5000,-39.4676,Bottom,0.0000
SW7,13.5000,-58.1344,Bottom,0.0000
SW8,32.8333,-58.1344,Bottom,0.0000
SW9,52.1667,-58.1344,Bottom,0.0000
SW10,71.5000,-58.1344,Bottom,0.0000
SW11,42.5000,-76.8020,Bottom,0.0000
SW12,71.5000,-76.8020,Bottom,0.0000
SW13,75.5000,-84.0000,Bottom,0.0000
SW14,13.5000,-76.8020,Bottom,0.0000
U1,45.0000,-84.0000,Bottom,0.0000
U2,66.0000,-84.0000,Bottom,0.0000
U3,13.0000,-86.5000,Bottom,0.0000
U4,23.5000,-5.5000,Bottom,0.0000
U6,57.0000,-8.0000,Bottom,0.0000
Y1,29.0000,-84.0000,Bottom,0.0000
D7,5.5000,-62.0000,Top,90.0000
D8,5.5000,-66.5000,Top,90.0000
D9,5.5000,-71.0000,Top,90.0000
ENC1,15.5000,-13.0000,Top,0.0000
JS1,74.0000,-16.0000,Top,0.0000
