Ref,Val,Package,PosX,PosY,Rot,Side
"C1","C_0603_1608Metric","C_0603_1608Metric",24.500000,-84.000000,90.000000,bottom
"C2","C_0603_1608Metric","C_0603_1608Metric",31.500000,-80.500000,0.000000,bottom
"C3","C_0603_1608Metric","C_0603_1608Metric",4.500000,-80.000000,90.000000,bottom
"C5","C_0603_1608Metric","C_0603_1608Metric",34.000000,-77.000000,0.000000,bottom
"C6","C_0603_1608Metric","C_0603_1608Metric",30.000000,-71.500000,0.000000,bottom
"C7","C_0603_1608Metric","C_0603_1608Metric",52.500000,-77.500000,0.000000,bottom
"C8","C_0603_1608Metric","C_0603_1608Metric",56.000000,-77.000000,0.000000,bottom
"C9","C_0603_1608Metric","C_0603_1608Metric",37.000000,-88.400000,0.000000,bottom
"C10","C_0603_1608Metric","C_0603_1608Metric",36.500000,-87.500000,90.000000,bottom
"C11","C_0603_1608Metric","C_0603_1608Metric",56.500000,-87.500000,90.000000,bottom
"C12","C_0603_1608Metric","C_0603_1608Metric",53.000000,-88.400000,0.000000,bottom
"C13","C_0603_1608Metric","C_0603_1608Metric",52.500000,-80.800000,0.000000,bottom
"C14","C_0603_1608Metric","C_0603_1608Metric",34.000000,-84.000000,90.000000,bottom
"C15","C_0603_1608Metric","C_0603_1608Metric",60.500000,-80.800000,0.000000,bottom
"C16","C_0603_1608Metric","C_0603_1608Metric",8.000000,-81.800000,90.000000,bottom
"C17","C_0603_1608Metric","C_0603_1608Metric",19.500000,-82.500000,90.000000,bottom
"C19","C_0603_1608Metric","C_0603_1608Metric",42.314800,-23.097100,90.000000,bottom
"C20","C_0603_1608Metric","C_0603_1608Metric",61.648100,-23.097100,90.000000,bottom
"C21","C_0603_1608Metric","C_0603_1608Metric",22.981500,-40.705400,90.000000,bottom
"C22","C_0603_1608Metric","C_0603_1608Metric",42.314800,-40.705400,90.000000,bottom
"C23","C_0603_1608Metric","C_0603_1608Metric",61.648100,-40.705400,90.000000,bottom
"C24","C_0603_1608Metric","C_0603_1608Metric",80.981500,-40.705400,90.000000,bottom
"C25","C_0603_1608Metric","C_0603_1608Metric",14.925900,-5.407500,90.000000,bottom
"C26","C_0603_1608Metric","C_0603_1608Metric",22.981500,-58.312900,90.000000,bottom
"C27","C_0603_1608Metric","C_0603_1608Metric",42.314800,-58.312900,90.000000,bottom
"C28","C_0603_1608Metric","C_0603_1608Metric",61.648100,-58.312900,90.000000,bottom
"C29","C_0603_1608Metric","C_0603_1608Metric",80.981500,-58.312900,90.000000,bottom
"C30","C_0603_1608Metric","C_0603_1608Metric",33.000000,-74.500000,90.000000,bottom
"C31","C_0603_1608Metric","C_0603_1608Metric",79.907400,-75.921200,90.000000,bottom
"D1","LED-SMD_4P-L3.2-W2.8-LS5.9_SK6812MINI-E","LED-SMD_4P-L3.2-W2.8-LS5.9_SK6812MINI-E",35.333300,-11.200000,0.000000,bottom
"D2","LED-SMD_4P-L3.2-W2.8-LS5.9_SK6812MINI-E","LED-SMD_4P-L3.2-W2.8-LS5.9_SK6812MINI-E",54.666700,-11.200000,0.000000,bottom
"D3","LED-SMD_4P-L3.2-W2.8-LS5.9_SK6812MINI-E","LED-SMD_4P-L3.2-W2.8-LS5.9_SK6812MINI-E",16.000000,-29.867600,0.000000,bottom
"D4","LED-SMD_4P-L3.2-W2.8-LS5.9_SK6812MINI-E","LED-SMD_4P-L3.2-W2.8-LS5.9_SK6812MINI-E",35.333300,-29.867600,0.000000,bottom
"D5","LED-SMD_4P-L3.2-W2.8-LS5.9_SK6812MINI-E","LED-SMD_4P-L3.2-W2.8-LS5.9_SK6812MINI-E",54.666700,-29.867600,0.000000,bottom
"D6","LED-SMD_4P-L3.2-W2.8-LS5.9_SK6812MINI-E","LED-SMD_4P-L3.2-W2.8-LS5.9_SK6812MINI-E",74.000000,-29.867600,0.000000,bottom
"D10","LED-SMD_4P-L3.2-W2.8-LS5.9_SK6812MINI-E","LED-SMD_4P-L3.2-W2.8-LS5.9_SK6812MINI-E",16.000000,-48.534400,0.000000,bottom
"D11","LED-SMD_4P-L3.2-W2.8-LS5.9_SK6812MINI-E","LED-SMD_4P-L3.2-W2.8-LS5.9_SK6812MINI-E",35.333300,-48.534400,0.000000,bottom
"D12","LED-SMD_4P-L3.2-W2.8-LS5.9_SK6812MINI-E","LED-SMD_4P-L3.2-W2.8-LS5.9_SK6812MINI-E",54.666700,-48.534400,0.000000,bottom
"D13","LED-SMD_4P-L3.2-W2.8-LS5.9_SK6812MINI-E","LED-SMD_4P-L3.2-W2.8-LS5.9_SK6812MINI-E",74.000000,-48.534400,0.000000,bottom
"D14","LED-SMD_4P-L3.2-W2.8-LS5.9_SK6812MINI-E","LED-SMD_4P-L3.2-W2.8-LS5.9_SK6812MINI-E",45.000000,-67.202000,0.000000,bottom
"D15","LED-SMD_4P-L3.2-W2.8-LS5.9_SK6812MINI-E","LED-SMD_4P-L3.2-W2.8-LS5.9_SK6812MINI-E",74.000000,-67.202000,0.000000,bottom
"D16","LED-SMD_4P-L3.2-W2.8-LS5.9_SK6812MINI-E","LED-SMD_4P-L3.2-W2.8-LS5.9_SK6812MINI-E",16.000000,-67.202000,0.000000,bottom
"J1","USB-C_SMD-TYPE-C-31-M-12_1","USB-C_SMD-TYPE-C-31-M-12_1",45.000000,-5.365000,0.000000,bottom
"R1","R_0603_1608Metric","R_0603_1608Metric",32.000000,-5.000000,90.000000,bottom
"R2","R_0603_1608Metric","R_0603_1608Metric",29.000000,-5.000000,90.000000,bottom
"R3","R_0603_1608Metric","R_0603_1608Metric",63.000000,-5.000000,90.000000,bottom
"R4","R_0603_1608Metric","R_0603_1608Metric",66.000000,-5.000000,90.000000,bottom
"R5","R_0603_1608Metric","R_0603_1608Metric",28.000000,-80.500000,0.000000,bottom
"R6","R_0603_1608Metric","R_0603_1608Metric",70.000000,-88.500000,0.000000,bottom
"R7","R_0603_1608Metric","R_0603_1608Metric",74.500000,-88.500000,0.000000,bottom
"R8","R_0603_1608Metric","R_0603_1608Metric",33.000000,-88.400000,0.000000,bottom
"R9","R_0603_1608Metric","R_0603_1608Metric",25.500000,-8.000000,0.000000,bottom
"R10","R_0603_1608Metric","R_0603_1608Metric",5.500000,-62.000000,90.000000,bottom
"R11","R_0603_1608Metric","R_0603_1608Metric",5.500000,-66.500000,90.000000,bottom
"R12","R_0603_1608Metric","R_0603_1608Metric",5.500000,-71.000000,90.000000,bottom
"SW1","CONN-SMD_HOTPLUGPAKAGE__C9900010116","CONN-SMD_HOTPLUGPAKAGE__C9900010116",32.833300,-20.800000,0.000000,bottom
"SW2","CONN-SMD_HOTPLUGPAKAGE__C9900010116","CONN-SMD_HOTPLUGPAKAGE__C9900010116",52.166700,-20.800000,0.000000,bottom
"SW3","CONN-SMD_HOTPLUGPAKAGE__C9900010116","CONN-SMD_HOTPLUGPAKAGE__C9900010116",13.500000,-39.467600,0.000000,bottom
"SW4","CONN-SMD_HOTPLUGPAKAGE__C9900010116","CONN-SMD_HOTPLUGPAKAGE__C9900010116",32.833300,-39.467600,0.000000,bottom
"SW5","CONN-SMD_HOTPLUGPAKAGE__C9900010116","CONN-SMD_HOTPLUGPAKAGE__C9900010116",52.166700,-39.467600,0.000000,bottom
"SW6","CONN-SMD_HOTPLUGPAKAGE__C9900010116","CONN-SMD_HOTPLUGPAKAGE__C9900010116",71.500000,-39.467600,0.000000,bottom
"SW7","CONN-SMD_HOTPLUGPAKAGE__C9900010116","CONN-SMD_HOTPLUGPAKAGE__C9900010116",13.500000,-58.134400,0.000000,bottom
"SW8","CONN-SMD_HOTPLUGPAKAGE__C9900010116","CONN-SMD_HOTPLUGPAKAGE__C9900010116",32.833300,-58.134400,0.000000,bottom
"SW9","CONN-SMD_HOTPLUGPAKAGE__C9900010116","CONN-SMD_HOTPLUGPAKAGE__C9900010116",52.166700,-58.134400,0.000000,bottom
"SW10","CONN-SMD_HOTPLUGPAKAGE__C9900010116","CONN-SMD_HOTPLUGPAKAGE__C9900010116",71.500000,-58.134400,0.000000,bottom
"SW11","CONN-SMD_HOTPLUGPAKAGE__C9900010116","CONN-SMD_HOTPLUGPAKAGE__C9900010116",42.500000,-76.802000,0.000000,bottom
"SW12","CONN-SMD_HOTPLUGPAKAGE__C9900010116","CONN-SMD_HOTPLUGPAKAGE__C9900010116",71.500000,-76.802000,0.000000,bottom
"SW13","SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL_H1.5","SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL_H1.5",75.500000,-84.000000,0.000000,bottom
