Designators,Qty,Value,Footprint,LCSC,Notes
"C1,C12,C13,C14,C15,C16,C17,C18,C19,C2,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C3,C30,C31,C5,C9",25,100nF,C_0603_1608Metric,C14663,
C4,1,10uF,C_0805_2012Metric,C19702,
"C6,C7",2,1uF,C_0805_2012Metric,C128624,
"D1,D10,D11,D12,D13,D14,D15,D16,D17,D18,D19,D2,D20,D21,D22,D23,D24,D25,D3,D4,D5,D6,D7,D8,D9",25,1N4148W,D_SOD-123,C81598,
ENC1,1,EC11,SW-TH_EC11E1820402,C361165,
J1,1,TYPE-C-31-M-12,USB-C_SMD-TYPE-C-31-M-12_1,C165948,
J3,1,ProgPads 3V3/TX/GND/RX,ProgPads_1x4,,not an LCSC line - see v2/PARTS.yaml
JS1,1,SKQUCAA010,SKQUCAA010,,not an LCSC line - see v2/PARTS.yaml
"LED1,LED10,LED11,LED12,LED13,LED14,LED15,LED16,LED17,LED18,LED19,LED2,LED20,LED3,LED4,LED5,LED6,LED7,LED8,LED9",20,SK6812MINI-E,LED-SMD_4P-L3.2-W2.8-LS5.9_SK6812MINI-E,C5149201,
"R1,R2",2,5.1k,R_0603_1608Metric,C23186,
R11,1,330R,R_0603_1608Metric,C23138,
"R10,R9",2,10k,R_0603_1608Metric,C25804,
"SW1,SW10,SW11,SW12,SW13,SW14,SW15,SW16,SW17,SW18,SW19,SW2,SW20,SW3,SW4,SW5,SW6,SW7,SW8,SW9",20,ChocV1,CONN-SMD_HOTPLUGPAKAGE__C9900010116,,not an LCSC line - see v2/PARTS.yaml
"SW26,SW27",2,SW_PUSH,SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL_H1.5,C318884,
U1,1,ESP32-S3-WROOM-1-N8R2,WIRELM-SMD_ESP32-S3-WROOM-1,C2913204,
U2,1,SN74AHCT1G125,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR,C7484,
U3,1,USBLC6-2SC6,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,C7519,
U5,1,ME6211C33,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR,C82942,
