Ref,Val,Package,PosX,PosY,Rot,Side
"C9","C_0603_1608Metric","C_0603_1608Metric",19.500000,-37.500000,90.000000,bottom
"C12","C_0603_1608Metric","C_0603_1608Metric",14.000000,-46.800000,90.000000,bottom
"C13","C_0603_1608Metric","C_0603_1608Metric",32.700000,-46.800000,90.000000,bottom
"C14","C_0603_1608Metric","C_0603_1608Metric",51.400000,-46.800000,90.000000,bottom
"C15","C_0603_1608Metric","C_0603_1608Metric",70.100000,-46.800000,90.000000,bottom
"C16","C_0603_1608Metric","C_0603_1608Metric",88.800000,-46.800000,90.000000,bottom
"C17","C_0603_1608Metric","C_0603_1608Metric",88.800000,-66.100000,90.000000,bottom
"C18","C_0603_1608Metric","C_0603_1608Metric",70.100000,-66.100000,90.000000,bottom
"C19","C_0603_1608Metric","C_0603_1608Metric",51.400000,-66.100000,90.000000,bottom
"C20","C_0603_1608Metric","C_0603_1608Metric",32.700000,-66.100000,90.000000,bottom
"C21","C_0603_1608Metric","C_0603_1608Metric",14.000000,-66.100000,90.000000,bottom
"C22","C_0603_1608Metric","C_0603_1608Metric",14.000000,-85.400000,90.000000,bottom
"C23","C_0603_1608Metric","C_0603_1608Metric",32.700000,-85.400000,90.000000,bottom
"C24","C_0603_1608Metric","C_0603_1608Metric",51.400000,-85.400000,90.000000,bottom
"C25","C_0603_1608Metric","C_0603_1608Metric",70.100000,-85.400000,90.000000,bottom
"C26","C_0603_1608Metric","C_0603_1608Metric",88.800000,-85.400000,90.000000,bottom
"C27","C_0603_1608Metric","C_0603_1608Metric",88.800000,-104.700000,90.000000,bottom
"C28","C_0603_1608Metric","C_0603_1608Metric",70.100000,-104.700000,90.000000,bottom
"C29","C_0603_1608Metric","C_0603_1608Metric",51.400000,-104.700000,90.000000,bottom
"C30","C_0603_1608Metric","C_0603_1608Metric",32.700000,-104.700000,90.000000,bottom
"C31","C_0603_1608Metric","C_0603_1608Metric",14.000000,-104.700000,90.000000,bottom
"D1","D_SOD-123","D_SOD-123",13.600000,-36.000000,0.000000,bottom
"D2","D_SOD-123","D_SOD-123",32.300000,-36.000000,0.000000,bottom
